n,d,p_feas,max_feas1,max_feas2,min_feas1,min_feas2
1,1,0.5046,0.5046,0.5046,0.5046,0.5046
1,2,0.5964,0.7044000000000001,0.5964,0.3522,0.5964
1,3,0.678,0.8660000000000001,0.7354666666666668,0.2886666666666666,0.6702000000000001
1,4,0.7254,1,0.8515999999999999,0.25105,0.6989999999999996
1,5,0.7598,0.9999999999999999,0.95236,0.22227999999999998,0.7137999999999995
1,6,0.7946,1,0.9999999999999998,0.2048,0.7206
2,1,0.2496,0.2496,0.24959999999999996,0.2496,0.24959999999999996
2,2,0.4192,0.504,0.45869999999999994,0.126,0.41339999999999977
2,3,0.5546,0.761,0.7074000000000477,0.08455555555555556,0.5198000000000044
2,4,0.65,1,0.9535999999999846,0.0631625,0.5546000000002698
2,5,0.7264,1.0000000000000002,1.0000000000000002,0.049528,0.5911999999999997
2,6,0.7872,1.0000000000000002,1,0.041644444444444456,0.6532666666667309
3,1,0.1276,0.1276,0.1276,0.1276,0.1276
3,2,0.292,0.3486,0.33315000000000006,0.043575,0.28679999999999
3,3,0.469,0.6587999999999999,0.641422222222216,0.024400000000000005,0.4242000000000155
3,4,0.6062,1,0.994006250000002,0.015809375,0.4847333333333334
3,5,0.7258,1,1,0.011216000000000002,0.5820999999996371
3,6,0.8062,1,0.9999999999999999,0.00841388888888889,0.6113333333333347
4,1,0.0641,0.0641,0.0641,0.0641,0.0641
4,2,0.2101,0.2475,0.24233750000000243,0.01546875,0.2061999999999999
4,3,0.3987,0.5583,0.5533913580246885,0.0068925925925925925,0.3595000000000066
4,4,0.5794,0.9856,0.9809609375,0.00385,0.4591333333333332
4,5,0.7384,1,1,0.0025468800000000005,0.56773333333343
4,6,0.8492,1,1,0.0017256172839506172,0.6396000000000471
5,1,0.0364,0.0364,0.0364,0.0364,0.0364
5,2,0.1507,0.1786,0.17667500000000091,0.00558125,0.14780000000000434
5,3,0.3396,0.4895,0.4878679012345674,0.00201440329218107,0.2912000000001397
5,4,0.556,0.9876,0.9862652343750005,9.64453125e-4,0.4305999999999714
5,5,0.7464,0.9999999999999998,1,5.55712e-4,0.5516
5,6,NA,0.9999999999999999,-1,3.543821965832144e-4,NA
6,1,0.013,0.013,0.013,0.013,0.013
6,2,0.0996,0.1154,0.11485625000000013,0.001803125,0.09800000000000002
6,3,0.2921,0.41100000000000003,0.41056488340192066,5.637860082304527e-4,0.2523999999995671
6,4,0.5418,0.9822,0.9818435546875001,2.39794921875e-4,0.4114666666666721
6,5,NA,1,-1,1.25e-4,NA
6,6,NA,1,-1,7.233796296296295e-5,NA
7,1,0.0058,0.0058,0.0058000000000000005,0.0058,0.0058000000000000005
7,2,0.0748,0.0848,0.08462187499999996,6.625e-4,0.07339999999999992
7,3,0.2596,0.3728,0.37265624142661186,1.7046181984453588e-4,0.21559999999978238
7,4,NA,1,-1,6.103515625e-5,NA
7,5,NA,1,-1,2.7950849718747372e-5,NA
7,6,NA,1.0000000000000002,-1,1.4765924857633935e-5,NA
8,1,0.004,0.004,0.004,0.004,0.004
8,2,0.0542,0.0634,0.06332500000000002,2.4765625e-4,0.05379999999999942
8,3,NA,0.31640625,-1,4.8225308641975306e-5,NA
8,4,NA,1,-1,1.52587890625e-5,NA
8,5,NA,1,-1,6.25e-6,NA
8,6,NA,0.9999999999999999,-1,3.0140817901234566e-6,NA
